Unnamed: 0,Code,variants
0,AAS,['asian american studies']
1,ABE,"['agricultural & biological engineering', 'agricultural and biological engineering', 'agricultural engineering', 'agricultural and biological eng']"
2,ACCY,['accountancy']
3,ACE,"['agricultural & consumer economics', 'family and consumer economics', 'agricultural and consumer economics', 'agriculture & consumer economics', 'agricultural economics', 'agr & consumer economics']"
4,ACES,"['agricultural, consumer & environmental sciences', 'agricultural, consumer, and environmental sciences', 'agricultural, consumer and environmental sciences', 'consumer sciences', 'agr, consumer, & env sciences']"
5,ADV,['advertising']
6,AE,"['aerospace engineering', 'aeronautical & astronautical engineering']"
7,AFAS,"['air force aerospace studies', 'aviation']"
8,AFRO,"['afro-american studies', 'african american studies']"
9,AFST,['african studies']
10,AGCM,"['agricultural communications', 'agricultural mechanization']"
11,AGED,['agricultural education']
12,AHS,"['applied health sciences courses', 'applied health sciences', 'applied health science', 'applied health sci courses']"
13,AIS,['american indian studies']
14,ALEC,"['agricultural leadership, education, and communications', 'agricultural leadership, education, and communications program', 'agricultural leadership, education, & communications program']"
15,ANSC,"['animal sciences', 'animal science', 'animal biology']"
16,ANTH,['anthropology']
17,ARAB,['arabic']
18,ARCH,['architecture']
19,ART,['art']
20,ARTD,"['art & design', 'art and design', 'art--design']"
21,ARTE,"['art education', 'art--education']"
22,ARTF,['art--foundation']
23,ARTH,['art--history']
24,ARTJ,['japanese arts and aesthetics']
25,ARTS,['art--studio']
26,ASRM,"['actuarial science and risk management', 'actuarial science & risk management']"
27,ASST,"['asian studies-general', 'asian studies']"
28,ASTR,"['astronomy', 'agronomy']"
29,ATMS,"['atmospheric sciences', 'atmospheric science']"
30,BADM,"['business administration', 'business admin. courses:', 'administration, higher, & continuing education', 'masters of business administration']"
31,BASQ,['basque']
32,BCOG,['brain and cognitive science']
33,BCS,['bosnian-croatian-serbian']
34,BDI,"['business data and innovation', 'business data & innovation']"
35,BIOC,['biochemistry']
36,BIOE,"['bioengineering', 'civil engineering']"
37,BIOL,['biology']
38,BIOP,['biophysics']
39,BSE,['biomedical sciences and engineering']
40,BTW,"['business and technical writing', 'usiness and technical writing']"
41,BULG,['bulgarian']
42,BUS,['business']
43,CAS,['center for advanced study']
44,CATL,['catalan']
45,CB,['comparative biosciences']
46,CDB,['cell and developmental biology']
47,CEE,"['civil & environmental engineering', 'civil and environmental engineering', 'civil and environ engineering']"
48,CHBE,"['chemical and biomolecular engineering', 'chemical & biomolecular engineering', 'chemical engineering']"
49,CHEM,['chemistry']
50,CHIN,['chinese']
51,CHLH,['community health']
52,CHP,['campus honors program']
53,CIC,['committee on inst cooperation']
54,CI,"['curriculum & instruction', 'curriculum and instruction']"
55,CLCV,['classical civilization']
56,CLE,['clinical sciences and engineering']
57,CMN,"['communications', 'communication', 'speech communication']"
58,CPSC,"['crop sciences', 'crop science']"
59,CS,['computer science']
60,CSE,['computational science and engineering']
61,CW,['creative writing']
62,CWL,"['comparative literature', 'comparative & world literature', 'comparative and world literature']"
63,CZCH,['czech']
64,DANC,['dance']
65,DTX,"['human-centered design and design thinking', 'human-centered design & design thinking']"
66,EALC,"['east asian languages and culture', 'east asian languages and cultures', 'east asian languages & cultures']"
67,ECE,['electrical and computer engineering']
